nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   3,    1,    0,     0.000,    -0.500,    -0.818,     0.959,     0.959,     0.919,     0.882,     0
   3,    2,    0,     0.000,    -0.417,    -0.727,     0.838,     0.838,     0.703,     0.589,    -5
   3,    3,    0,     1.000,    -0.333,    -0.636,     0.718,     0.718,     0.516,     0.371,    -5
   3,    4,    0,     1.000,    -0.250,    -0.545,     0.600,     0.600,     0.360,     0.216,    -5
   3,    5,    0,     1.000,    -0.167,    -0.455,     0.484,     0.484,     0.234,     0.113,    -5
   3,    6,    0,     1.000,    -0.083,    -0.364,     0.373,     0.373,     0.139,     0.052,    -5
   3,    7,    0,     1.000,     0.000,    -0.273,     0.273,     0.273,     0.074,     0.020,    -5
   3,    8,    0,     1.000,     0.000,    -0.182,     0.182,     0.182,     0.033,     0.006,    -5
   3,    9,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,   995
   4,    0,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,     0
   4,    1,    0,     0.000,     0.083,    -0.652,     0.657,     0.657,     0.431,     0.283,     0
   4,    2,    0,     0.000,     0.083,    -0.561,     0.567,     0.567,     0.321,     0.182,     0
   4,    3,    0,     0.000,     0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,     0
   4,    4,    0,     0.000,     0.083,    -0.379,     0.388,     0.388,     0.150,     0.058,     0
   4,    5,    0,     0.000,     0.083,    -0.288,     0.300,     0.300,     0.090,     0.027,     0
   4,    6,    0,     0.000,     0.083,    -0.197,     0.214,     0.214,     0.046,     0.010,     0
   4,    7,    0,     0.000,     0.083,    -0.106,     0.135,     0.135,     0.018,     0.002,     0
   4,    8,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
   4,    9,    0,     0.000,     0.083,     0.076,     0.113,     0.113,     0.013,     0.001,     0
   4,   10,    0,     0.000,     0.083,     0.167,     0.186,     0.186,     0.035,     0.006,     0
   5,    0,    0,     0.000,     0.083,     0.258,     0.271,     0.271,     0.073,     0.020,     0
   5,    1,    0,     0.000,    -0.500,    -0.894,     1.024,     1.024,     1.049,     1.075,     0
   5,    2,    0,     0.000,    -0.417,    -0.803,     0.905,     0.905,     0.818,     0.740,    -5
   5,    3,    0,     1.000,    -0.333,    -0.712,     0.786,     0.786,     0.618,     0.486,    -5
   5,    4,    0,     1.000,    -0.250,    -0.621,     0.670,     0.670,     0.448,     0.300,    -5
   5,    5,    0,     1.000,    -0.167,    -0.530,     0.556,     0.556,     0.309,     0.172,    -5
   5,    6,    0,     1.000,    -0.083,    -0.439,     0.447,     0.447,     0.200,     0.089,    -5
   5,    7,    0,     1.000,     0.000,    -0.348,     0.348,     0.348,     0.121,     0.042,    -5
   5,    8,    0,     1.000,     0.000,    -0.258,     0.258,     0.258,     0.066,     0.017,    -5
   5,    9,    0,     1.000,     0.000,    -0.167,     0.167,     0.167,     0.028,     0.005,    -5
   5,   10,    0,     1.000,     0.000,    -0.076,     0.076,     0.076,     0.006,     0.000,     0
   6,    0,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
   6,    1,    0,     0.000,     0.083,    -0.758,     0.762,     0.762,     0.581,     0.443,     0
   6,    2,    0,     0.000,     0.083,    -0.667,     0.672,     0.672,     0.451,     0.303,     0
   6,    3,    0,     0.000,     0.083,    -0.576,     0.582,     0.582,     0.338,     0.197,     0
   6,    4,    0,     0.000,     0.083,    -0.485,     0.492,     0.492,     0.242,     0.119,     0
   6,    5,    0,     0.000,     0.083,    -0.394,     0.403,     0.403,     0.162,     0.065,     0
   6,    6,    0,     0.000,     0.083,    -0.303,     0.314,     0.314,     0.099,     0.031,     0
   6,    7,    0,     0.000,     0.083,    -0.212,     0.228,     0.228,     0.052,     0.012,     0
   6,    8,    0,     0.000,     0.083,    -0.121,     0.147,     0.147,     0.022,     0.003,     0
   6,    9,    0,     0.000,     0.083,    -0.030,     0.089,     0.089,     0.008,     0.001,     0
   6,   10,    0,     0.000,     0.083,     0.061,     0.103,     0.103,     0.011,     0.001,     0
   7,    0,    0,     0.000,     0.083,     0.152,     0.173,     0.173,     0.030,     0.005,     0
   7,    1,    0,     0.000,    -0.417,    -0.606,     0.735,     0.735,     0.541,     0.398,    -5
   7,    2,    0,     1.000,    -0.333,    -0.515,     0.614,     0.614,     0.376,     0.231,    -5
   7,    3,    0,     1.000,    -0.250,    -0.424,     0.492,     0.492,     0.242,     0.119,    -5
   7,    4,    0,     1.000,    -0.167,    -0.333,     0.373,     0.373,     0.139,     0.052,    -5
   7,    5,    0,     1.000,    -0.083,    -0.242,     0.256,     0.256,     0.066,     0.017,    -5
   7,    6,    0,     1.000,     0.000,    -0.152,     0.152,     0.152,     0.023,     0.003,    -5
   7,    7,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,   995
   8,    0,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,     0
   8,    1,    0,     0.000,    -0.500,    -0.955,     1.078,     1.078,     1.161,     1.251,     0
   8,    2,    0,     0.000,    -0.417,    -0.864,     0.959,     0.959,     0.919,     0.882,    -5
   8,    3,    0,     1.000,    -0.333,    -0.773,     0.842,     0.842,     0.708,     0.596,    -5
   8,    4,    0,     1.000,    -0.250,    -0.682,     0.726,     0.726,     0.527,     0.383,    -5
   8,    5,    0,     1.000,    -0.167,    -0.591,     0.614,     0.614,     0.377,     0.231,    -5
   8,    6,    0,     1.000,    -0.083,    -0.500,     0.507,     0.507,     0.257,     0.130,    -5
   8,    7,    0,     1.000,     0.000,    -0.409,     0.409,     0.409,     0.167,     0.068,    -5
   8,    8,    0,     1.000,     0.000,    -0.318,     0.318,     0.318,     0.101,     0.032,    -5
   8,    9,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
   8,   10,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,     0
   9,    0,    0,     0.000,     0.083,    -0.045,     0.095,     0.095,     0.009,     0.001,     0
   9,    1,    0,     0.000,    -0.500,    -0.924,     1.051,     1.051,     1.104,     1.160,     0
   9,    2,    0,     0.000,    -0.417,    -0.833,     0.932,     0.932,     0.868,     0.809,    -5
   9,    3,    0,     1.000,    -0.333,    -0.742,     0.814,     0.814,     0.662,     0.539,    -5
   9,    4,    0,     1.000,    -0.250,    -0.652,     0.698,     0.698,     0.487,     0.340,    -5
   9,    5,    0,     1.000,    -0.167,    -0.561,     0.585,     0.585,     0.342,     0.200,    -5
   9,    6,    0,     1.000,    -0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,    -5
   9,    7,    0,     1.000,     0.000,    -0.379,     0.379,     0.379,     0.143,     0.054,    -5
   9,    8,    0,     1.000,     0.000,    -0.288,     0.288,     0.288,     0.083,     0.024,    -5
   9,    9,    0,     1.000,     0.000,    -0.197,     0.197,     0.197,     0.039,     0.008,    -5
   9,   10,    0,     1.000,     0.000,    -0.106,     0.106,     0.106,     0.011,     0.001,     0
  10,    0,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
  10,    1,    0,     0.000,     0.083,    -0.712,     0.717,     0.717,     0.514,     0.369,     0
  10,    2,    0,     0.000,     0.083,    -0.621,     0.627,     0.627,     0.393,     0.246,     0
  10,    3,    0,     0.000,     0.083,    -0.530,     0.537,     0.537,     0.288,     0.155,     0
  10,    4,    0,     0.000,     0.083,    -0.439,     0.447,     0.447,     0.200,     0.089,     0
  10,    5,    0,     0.000,     0.083,    -0.348,     0.358,     0.358,     0.128,     0.046,     0
  10,    6,    0,     0.000,     0.083,    -0.258,     0.271,     0.271,     0.073,     0.020,     0
  10,    7,    0,     0.000,     0.083,    -0.167,     0.186,     0.186,     0.035,     0.006,     0
  10,    8,    0,     0.000,     0.083,    -0.076,     0.113,     0.113,     0.013,     0.001,     0
  10,    9,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
  10,   10,    0,     0.000,     0.083,     0.106,     0.135,     0.135,     0.018,     0.002,     0
  11,    0,    0,     0.000,     0.083,     0.197,     0.214,     0.214,     0.046,     0.010,     0
  11,    1,    0,     0.000,    -0.500,    -0.864,     0.998,     0.998,     0.996,     0.994,     0
  11,    2,    0,     0.000,    -0.417,    -0.773,     0.878,     0.878,     0.771,     0.677,    -5
  11,    3,    0,     1.000,    -0.333,    -0.682,     0.759,     0.759,     0.576,     0.437,    -5
  11,    4,    0,     1.000,    -0.250,    -0.591,     0.642,     0.642,     0.412,     0.264,    -5
  11,    5,    0,     1.000,    -0.167,    -0.500,     0.527,     0.527,     0.278,     0.146,    -5
  11,    6,    0,     1.000,    -0.083,    -0.409,     0.417,     0.417,     0.174,     0.073,    -5
  11,    7,    0,     1.000,     0.000,    -0.318,     0.318,     0.318,     0.101,     0.032,    -5
  11,    8,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
  11,    9,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,    -5
  12,    0,    0,     1.000,     0.000,    -0.045,     0.045,     0.045,     0.002,     0.000,     0
  12,    1,    0,     0.000,     0.083,    -0.258,     0.271,     0.271,     0.073,     0.020,     0
  12,    2,    0,     0.000,     0.083,    -0.167,     0.186,     0.186,     0.035,     0.006,     0
  12,    3,    0,     0.000,     0.083,    -0.076,     0.113,     0.113,     0.013,     0.001,     0
  12,    4,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
  12,    5,    0,     0.000,     0.083,     0.106,     0.135,     0.135,     0.018,     0.002,     0
  12,    6,    0,     0.000,     0.083,     0.197,     0.214,     0.214,     0.046,     0.010,     0
  12,    7,    0,     0.000,     0.083,     0.288,     0.300,     0.300,     0.090,     0.027,     0
  12,    8,    0,     0.000,     0.083,     0.379,     0.388,     0.388,     0.150,     0.058,     0
  12,    9,    0,     0.000,     0.083,     0.470,     0.477,     0.477,     0.228,     0.109,     0
  12,   10,    0,     0.000,     0.083,     0.561,     0.567,     0.567,     0.321,     0.182,     0
  13,    0,    0,     0.000,     0.083,     0.652,     0.657,     0.657,     0.431,     0.283,     0
  13,    1,    0,     0.000,     0.083,    -0.652,     0.657,     0.657,     0.431,     0.283,     0
  13,    2,    0,     0.000,     0.083,    -0.561,     0.567,     0.567,     0.321,     0.182,     0
  13,    3,    0,     0.000,     0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,     0
  13,    4,    0,     0.000,     0.083,    -0.379,     0.388,     0.388,     0.150,     0.058,     0
  13,    5,    0,     0.000,     0.083,    -0.288,     0.300,     0.300,     0.090,     0.027,     0
  13,    6,    0,     0.000,     0.083,    -0.197,     0.214,     0.214,     0.046,     0.010,     0
  13,    7,    0,     0.000,     0.083,    -0.106,     0.135,     0.135,     0.018,     0.002,     0
  13,    8,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
  13,    9,    0,     0.000,     0.083,     0.076,     0.113,     0.113,     0.013,     0.001,     0
  13,   10,    0,     0.000,     0.083,     0.167,     0.186,     0.186,     0.035,     0.006,     0
  14,    0,    0,     0.000,     0.083,     0.258,     0.271,     0.271,     0.073,     0.020,     0
  14,    1,    0,     0.000,    -0.500,    -0.955,     1.078,     1.078,     1.161,     1.251,     0
  14,    2,    0,     0.000,    -0.417,    -0.864,     0.959,     0.959,     0.919,     0.882,    -5
  14,    3,    0,     1.000,    -0.333,    -0.773,     0.842,     0.842,     0.708,     0.596,    -5
  14,    4,    0,     1.000,    -0.250,    -0.682,     0.726,     0.726,     0.527,     0.383,    -5
  14,    5,    0,     1.000,    -0.167,    -0.591,     0.614,     0.614,     0.377,     0.231,    -5
  14,    6,    0,     1.000,    -0.083,    -0.500,     0.507,     0.507,     0.257,     0.130,    -5
  14,    7,    0,     1.000,     0.000,    -0.409,     0.409,     0.409,     0.167,     0.068,    -5
  14,    8,    0,     1.000,     0.000,    -0.318,     0.318,     0.318,     0.101,     0.032,    -5
  14,    9,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
  14,   10,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,     0
  15,    0,    0,     0.000,     0.083,    -0.045,     0.095,     0.095,     0.009,     0.001,     0
  15,    1,    0,     0.000,     0.083,    -0.833,     0.837,     0.837,     0.701,     0.587,     0
  15,    2,    0,     0.000,     0.083,    -0.742,     0.747,     0.747,     0.558,     0.417,     0
  15,    3,    0,     0.000,     0.083,    -0.652,     0.657,     0.657,     0.431,     0.283,     0
  15,    4,    0,     0.000,     0.083,    -0.561,     0.567,     0.567,     0.321,     0.182,     0
  15,    5,    0,     0.000,     0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,     0
  15,    6,    0,     0.000,     0.083,    -0.379,     0.388,     0.388,     0.150,     0.058,     0
  15,    7,    0,     0.000,     0.083,    -0.288,     0.300,     0.300,     0.090,     0.027,     0
  15,    8,    0,     0.000,     0.083,    -0.197,     0.214,     0.214,     0.046,     0.010,     0
  15,    9,    0,     0.000,     0.083,    -0.106,     0.135,     0.135,     0.018,     0.002,     0
  15,   10,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
  16,    0,    0,     0.000,     0.083,     0.076,     0.113,     0.113,     0.013,     0.001,     0
  16,    1,    0,     0.000,     0.083,    -0.773,     0.777,     0.777,     0.604,     0.469,     0
  16,    2,    0,     0.000,     0.083,    -0.682,     0.687,     0.687,     0.472,     0.324,     0
  16,    3,    0,     0.000,     0.083,    -0.591,     0.597,     0.597,     0.356,     0.213,     0
  16,    4,    0,     0.000,     0.083,    -0.500,     0.507,     0.507,     0.257,     0.130,     0
  16,    5,    0,     0.000,     0.083,    -0.409,     0.417,     0.417,     0.174,     0.073,     0
  16,    6,    0,     0.000,     0.083,    -0.318,     0.329,     0.329,     0.108,     0.036,     0
  16,    7,    0,     0.000,     0.083,    -0.227,     0.242,     0.242,     0.059,     0.014,     0
  16,    8,    0,     0.000,     0.083,    -0.136,     0.160,     0.160,     0.026,     0.004,     0
  16,    9,    0,     0.000,     0.083,    -0.045,     0.095,     0.095,     0.009,     0.001,     0
  16,   10,    0,     0.000,     0.083,     0.045,     0.095,     0.095,     0.009,     0.001,     0
  17,    0,    0,     0.000,     0.083,     0.136,     0.160,     0.160,     0.026,     0.004,     0
  17,    1,    0,     0.000,    -0.417,    -0.470,     0.628,     0.628,     0.394,     0.248,    -5
  17,    2,    0,     1.000,    -0.333,    -0.379,     0.505,     0.505,     0.255,     0.128,    -5
  17,    3,    0,     1.000,    -0.250,    -0.288,     0.381,     0.381,     0.145,     0.055,    -5
  17,    4,    0,     1.000,    -0.167,    -0.197,     0.258,     0.258,     0.067,     0.017,    -5
  17,    5,    0,     1.000,    -0.083,    -0.106,     0.135,     0.135,     0.018,     0.002,    -5
  17,    6,    0,     1.000,     0.000,    -0.015,     0.015,     0.015,     0.000,     0.000,   995
  18,    0,    0,     1.000,     0.000,    -0.015,     0.015,     0.015,     0.000,     0.000,     0
  18,    1,    0,     0.000,    -0.417,    -0.636,     0.761,     0.761,     0.579,     0.440,    -5
  18,    2,    0,     1.000,    -0.333,    -0.545,     0.639,     0.639,     0.409,     0.261,    -5
  18,    3,    0,     1.000,    -0.250,    -0.455,     0.519,     0.519,     0.269,     0.140,    -5
  18,    4,    0,     1.000,    -0.167,    -0.364,     0.400,     0.400,     0.160,     0.064,    -5
  18,    5,    0,     1.000,    -0.083,    -0.273,     0.285,     0.285,     0.081,     0.023,    -5
  18,    6,    0,     1.000,     0.000,    -0.182,     0.182,     0.182,     0.033,     0.006,    -5
  18,    7,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,   995
  19,    0,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,     0
  19,    1,    0,     0.000,    -0.500,    -0.939,     1.064,     1.064,     1.132,     1.205,     0
  19,    2,    0,     0.000,    -0.417,    -0.848,     0.945,     0.945,     0.894,     0.845,    -5
  19,    3,    0,     1.000,    -0.333,    -0.758,     0.828,     0.828,     0.685,     0.567,    -5
  19,    4,    0,     1.000,    -0.250,    -0.667,     0.712,     0.712,     0.507,     0.361,    -5
  19,    5,    0,     1.000,    -0.167,    -0.576,     0.599,     0.599,     0.359,     0.215,    -5
  19,    6,    0,     1.000,    -0.083,    -0.485,     0.492,     0.492,     0.242,     0.119,    -5
  19,    7,    0,     1.000,     0.000,    -0.394,     0.394,     0.394,     0.155,     0.061,    -5
  19,    8,    0,     1.000,     0.000,    -0.303,     0.303,     0.303,     0.092,     0.028,    -5
  19,    9,    0,     1.000,     0.000,    -0.212,     0.212,     0.212,     0.045,     0.010,    -5
  19,   10,    0,     1.000,     0.000,    -0.121,     0.121,     0.121,     0.015,     0.002,     0
  20,    0,    0,     0.000,     0.083,    -0.030,     0.089,     0.089,     0.008,     0.001,     0
  20,    1,    0,     0.000,     0.167,    -0.606,     0.629,     0.629,     0.395,     0.248,     0
  20,    2,    0,     0.000,     0.250,    -0.515,     0.573,     0.573,     0.328,     0.188,     0
  20,    3,    0,     0.000,     0.333,    -0.424,     0.540,     0.540,     0.291,     0.157,    -5
  20,    4,    0,     0.000,     0.417,    -0.333,     0.534,     0.534,     0.285,     0.152,    -5
  20,    5,    0,     0.000,     0.500,    -0.242,     0.556,     0.556,     0.309,     0.172,    -5
  20,    6,    0,     0.000,     0.583,    -0.152,     0.603,     0.603,     0.363,     0.219,    -5
  20,    7,    0,     0.000,     0.667,    -0.061,     0.669,     0.669,     0.448,     0.300,    -5
  20,    8,    0,     0.000,     0.750,     0.030,     0.751,     0.751,     0.563,     0.423,    -5
  20,    9,    0,     0.000,     0.833,     0.121,     0.842,     0.842,     0.709,     0.597,    -5
  20,   10,    0,     0.000,     0.917,     0.212,     0.941,     0.941,     0.885,     0.833,    -5
  21,    0,    0,     0.000,     1.000,     0.303,     1.045,     1.045,     1.092,     1.141,     0
  21,    1,    0,     0.000,    -0.500,    -0.818,     0.959,     0.959,     0.919,     0.882,     0
  21,    2,    0,     0.000,    -0.417,    -0.727,     0.838,     0.838,     0.703,     0.589,    -5
  21,    3,    0,     1.000,    -0.333,    -0.636,     0.718,     0.718,     0.516,     0.371,    -5
  21,    4,    0,     1.000,    -0.250,    -0.545,     0.600,     0.600,     0.360,     0.216,    -5
  21,    5,    0,     1.000,    -0.167,    -0.455,     0.484,     0.484,     0.234,     0.113,    -5
  21,    6,    0,     1.000,    -0.083,    -0.364,     0.373,     0.373,     0.139,     0.052,    -5
  21,    7,    0,     1.000,     0.000,    -0.273,     0.273,     0.273,     0.074,     0.020,    -5
  21,    8,    0,     1.000,     0.000,    -0.182,     0.182,     0.182,     0.033,     0.006,    -5
  21,    9,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,   995
  22,    0,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,     0
  22,    1,    0,     0.000,     0.083,    -0.894,     0.898,     0.898,     0.806,     0.724,     0
  22,    2,    0,     0.000,     0.083,    -0.803,     0.807,     0.807,     0.652,     0.526,     0
  22,    3,    0,     0.000,     0.083,    -0.712,     0.717,     0.717,     0.514,     0.369,     0
  22,    4,    0,     0.000,     0.083,    -0.621,     0.627,     0.627,     0.393,     0.246,     0
  22,    5,    0,     0.000,     0.083,    -0.530,     0.537,     0.537,     0.288,     0.155,     0
  22,    6,    0,     0.000,     0.083,    -0.439,     0.447,     0.447,     0.200,     0.089,     0
  22,    7,    0,     0.000,     0.083,    -0.348,     0.358,     0.358,     0.128,     0.046,     0
  22,    8,    0,     0.000,     0.083,    -0.258,     0.271,     0.271,     0.073,     0.020,     0
  22,    9,    0,     0.000,     0.083,    -0.167,     0.186,     0.186,     0.035,     0.006,     0
  22,   10,    0,     0.000,     0.083,    -0.076,     0.113,     0.113,     0.013,     0.001,     0
  23,    0,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
  23,    1,    0,     0.000,     0.167,    -0.667,     0.687,     0.687,     0.472,     0.325,     0
  23,    2,    0,     0.000,     0.250,    -0.576,     0.628,     0.628,     0.394,     0.247,     0
  23,    3,    0,     0.000,     0.333,    -0.485,     0.588,     0.588,     0.346,     0.204,    -5
  23,    4,    0,     0.000,     0.417,    -0.394,     0.573,     0.573,     0.329,     0.189,    -5
  23,    5,    0,     0.000,     0.500,    -0.303,     0.585,     0.585,     0.342,     0.200,    -5
  23,    6,    0,     0.000,     0.583,    -0.212,     0.621,     0.621,     0.385,     0.239,    -5
  23,    7,    0,     0.000,     0.667,    -0.121,     0.678,     0.678,     0.459,     0.311,    -5
  23,    8,    0,     0.000,     0.750,    -0.030,     0.751,     0.751,     0.563,     0.423,    -5
  23,    9,    0,     0.000,     0.833,     0.061,     0.836,     0.836,     0.698,     0.583,    -5
  23,   10,    0,     0.000,     0.917,     0.152,     0.929,     0.929,     0.863,     0.802,    -5
  24,    0,    0,     0.000,     1.000,     0.242,     1.029,     1.029,     1.059,     1.089,     0
  24,    1,    0,     0.000,     0.167,    -0.939,     0.954,     0.954,     0.910,     0.868,     0
  24,    2,    0,     0.000,     0.250,    -0.848,     0.885,     0.885,     0.782,     0.692,     0
  24,    3,    0,     0.000,     0.333,    -0.758,     0.828,     0.828,     0.685,     0.567,    -5
  24,    4,    0,     0.000,     0.417,    -0.667,     0.786,     0.786,     0.618,     0.486,    -5
  24,    5,    0,     0.000,     0.500,    -0.576,     0.763,     0.763,     0.581,     0.443,    -5
  24,    6,    0,     0.000,     0.583,    -0.485,     0.759,     0.759,     0.575,     0.436,    -5
  24,    7,    0,     0.000,     0.667,    -0.394,     0.774,     0.774,     0.600,     0.464,    -5
  24,    8,    0,     0.000,     0.750,    -0.303,     0.809,     0.809,     0.654,     0.529,    -5
  24,    9,    0,     0.000,     0.833,    -0.212,     0.860,     0.860,     0.739,     0.636,    -5
  24,   10,    0,     0.000,     0.917,    -0.121,     0.925,     0.925,     0.855,     0.791,    -5
  25,    0,    0,     0.000,     1.000,    -0.030,     1.000,     1.000,     1.001,     1.001,     0
  25,    1,    0,     0.000,    -0.500,    -0.848,     0.985,     0.985,     0.970,     0.955,     0
  25,    2,    0,     0.000,    -0.417,    -0.758,     0.865,     0.865,     0.748,     0.646,    -5
  25,    3,    0,     1.000,    -0.333,    -0.667,     0.745,     0.745,     0.556,     0.414,    -5
  25,    4,    0,     1.000,    -0.250,    -0.576,     0.628,     0.628,     0.394,     0.247,    -5
  25,    5,    0,     1.000,    -0.167,    -0.485,     0.513,     0.513,     0.263,     0.135,    -5
  25,    6,    0,     1.000,    -0.083,    -0.394,     0.403,     0.403,     0.162,     0.065,    -5
  25,    7,    0,     1.000,     0.000,    -0.303,     0.303,     0.303,     0.092,     0.028,    -5
  25,    8,    0,     1.000,     0.000,    -0.212,     0.212,     0.212,     0.045,     0.010,    -5
  25,    9,    0,     1.000,     0.000,    -0.121,     0.121,     0.121,     0.015,     0.002,    -5
  25,   10,    0,     1.000,     0.000,    -0.030,     0.030,     0.030,     0.001,     0.000,     0
  26,    0,    0,     0.000,     0.083,     0.061,     0.103,     0.103,     0.011,     0.001,     0
  26,    1,    0,     0.000,     0.167,    -0.439,     0.470,     0.470,     0.221,     0.104,     0
  26,    2,    0,     0.000,     0.250,    -0.348,     0.429,     0.429,     0.184,     0.079,     0
  26,    3,    0,     0.000,     0.333,    -0.258,     0.421,     0.421,     0.177,     0.075,    -5
  26,    4,    0,     0.000,     0.417,    -0.167,     0.449,     0.449,     0.201,     0.090,    -5
  26,    5,    0,     0.000,     0.500,    -0.076,     0.506,     0.506,     0.256,     0.129,    -5
  26,    6,    0,     0.000,     0.583,     0.015,     0.584,     0.584,     0.341,     0.199,    -5
  26,    7,    0,     0.000,     0.667,     0.106,     0.675,     0.675,     0.456,     0.308,    -5
  26,    8,    0,     0.000,     0.750,     0.197,     0.775,     0.775,     0.601,     0.466,    -5
  26,    9,    0,     0.000,     0.833,     0.288,     0.882,     0.882,     0.777,     0.685,    -5
  26,   10,    0,     0.000,     0.917,     0.379,     0.992,     0.992,     0.984,     0.976,    -5
  27,    0,    0,     0.000,     1.000,     0.470,     1.105,     1.105,     1.221,     1.349,     0
  27,    1,    0,     0.000,    -0.417,    -0.879,     0.973,     0.973,     0.946,     0.920,    -5
  27,    2,    0,     1.000,    -0.333,    -0.788,     0.855,     0.855,     0.732,     0.626,    -5
  27,    3,    0,     1.000,    -0.250,    -0.697,     0.740,     0.740,     0.548,     0.406,    -5
