nExp, Time,   ID,       F 0,       F 1 
   2,    9,    0,     0.000,     1.104,    -1
   2,    9,    1,     1.000,     1.250,    -5
   2,   10,    0,     0.000,     0.665,    -1
   2,   10,    1,     1.000,     5.000,    -1
   3,    0,    0,     0.000,     0.476,    -1
   3,    0,    1,     0.000,     2.425,    -1
   3,    1,    0,     0.000,     0.213,    -1
   3,    1,    1,     0.000,     0.261,    -5
   3,    2,    0,     0.000,     0.244,    -1
   3,    2,    1,     1.000,     0.310,    -5
   3,    3,    0,     0.000,     0.286,    -1
   3,    3,    1,     1.000,     0.382,    -5
   3,    4,    0,     0.000,     0.345,    -1
   3,    4,    1,     1.000,     0.498,    -5
   3,    5,    0,     0.000,     0.434,    -1
   3,    5,    1,     1.000,     0.712,    -5
   3,    6,    0,     0.000,     0.587,    -1
   3,    6,    1,     1.000,     1.250,    -5
   3,    7,    0,     0.000,     0.905,    -1
   3,    7,    1,     1.000,     5.000,   995
   4,    0,    0,     0.000,     0.905,    -1
   4,    0,    1,     1.000,     5.000,    -5
   4,    1,    0,     0.000,     0.163,    -1
   4,    1,    1,     0.000,     0.166,    -1
   4,    2,    0,     0.000,     0.181,    -5
   4,    2,    1,     0.000,     0.184,    -5
   4,    3,    0,     1.000,     0.203,    -5
   4,    3,    1,     1.000,     0.208,    -5
   4,    4,    0,     1.000,     0.232,    -5
   4,    4,    1,     1.000,     0.237,    -5
   4,    5,    0,     1.000,     0.270,    -5
   4,    5,    1,     1.000,     0.277,    -5
   4,    6,    0,     1.000,     0.322,    -5
   4,    6,    1,     1.000,     0.333,    -5
   4,    7,    0,     1.000,     0.400,    -5
   4,    7,    1,     1.000,     0.417,    -5
   4,    8,    0,     1.000,     0.526,    -5
   4,    8,    1,     1.000,     0.556,    -5
   4,    9,    0,     1.000,     0.769,    -5
   4,    9,    1,     1.000,     0.833,    -5
   4,   10,    0,     1.000,     1.429,    -1
   4,   10,    1,     1.000,     1.667,    -1
   5,    0,    0,     0.000,     7.071,    -1
   5,    0,    1,     0.000,    10.000,    -1
   5,    1,    0,     0.000,     0.217,    -1
   5,    1,    1,     0.000,     0.174,    -1
   5,    2,    0,     0.000,     0.250,    -1
   5,    2,    1,     0.000,     0.195,    -5
   5,    3,    0,     0.000,     0.294,    -1
   5,    3,    1,     1.000,     0.221,    -5
   5,    4,    0,     0.000,     0.357,    -1
   5,    4,    1,     1.000,     0.256,    -5
   5,    5,    0,     0.000,     0.454,    -1
   5,    5,    1,     1.000,     0.302,    -5
   5,    6,    0,     0.000,     0.624,    -1
   5,    6,    1,     1.000,     0.370,    -5
   5,    7,    0,     0.000,     0.995,    -1
   5,    7,    1,     1.000,     0.476,    -5
   5,    8,    0,     0.000,     2.425,    -1
   5,    8,    1,     1.000,     0.667,    -5
   5,    9,    0,     0.000,     4.472,    -1
   5,    9,    1,     1.000,     1.111,    -5
   6,    0,    0,     0.000,     1.240,    -1
   6,    0,    1,     1.000,     3.333,    -1
   6,    1,    0,     0.000,     0.587,    -1
   6,    1,    1,     0.000,     0.227,    -1
   6,    2,    0,     0.000,     0.905,    -1
   6,    2,    1,     0.000,     0.263,    -1
   6,    3,    0,     0.000,     1.961,    -1
   6,    3,    1,     0.000,     0.312,    -1
   6,    4,    0,     0.000,     7.071,    -1
   6,    4,    1,     0.000,     0.384,    -1
   6,    5,    0,     0.000,     1.414,    -1
   6,    5,    1,     0.000,     0.499,    -1
   6,    6,    0,     0.000,     0.767,    -1
   6,    6,    1,     0.000,     0.712,    -1
   6,    7,    0,     0.000,     0.526,    -1
   6,    7,    1,     0.000,     1.240,    -1
   6,    8,    0,     0.000,     0.400,    -1
   6,    8,    1,     0.000,     4.472,    -1
   6,    9,    0,     0.000,     0.322,    -1
   6,    9,    1,     0.000,     2.425,    -1
   6,   10,    0,     0.000,     0.270,    -1
   6,   10,    1,     0.000,     0.995,    -1
   7,    0,    0,     0.000,     0.232,    -1
   7,    0,    1,     0.000,     0.624,    -1
   7,    1,    0,     0.000,     0.156,    -1
   7,    1,    1,     0.000,     0.175,    -1
   7,    2,    0,     0.000,     0.172,    -5
   7,    2,    1,     0.000,     0.196,    -1
   7,    3,    0,     1.000,     0.192,    -5
   7,    3,    1,     0.000,     0.222,    -1
   7,    4,    0,     1.000,     0.217,    -5
   7,    4,    1,     0.000,     0.256,    -1
   7,    5,    0,     1.000,     0.250,    -5
   7,    5,    1,     0.000,     0.303,    -1
   7,    6,    0,     1.000,     0.294,    -5
   7,    6,    1,     0.000,     0.370,    -1
   7,    7,    0,     1.000,     0.357,    -5
   7,    7,    1,     0.000,     0.476,    -1
   7,    8,    0,     1.000,     0.455,    -5
   7,    8,    1,     0.000,     0.665,    -1
   7,    9,    0,     1.000,     0.625,    -5
   7,    9,    1,     0.000,     1.104,    -1
   7,   10,    0,     1.000,     1.000,    -1
   7,   10,    1,     0.000,     3.162,    -1
   8,    0,    0,     0.000,     2.425,    -1
   8,    0,    1,     0.000,     3.162,    -1
   8,    1,    0,     0.000,     0.189,    -1
   8,    1,    1,     0.000,     0.291,    -5
   8,    2,    0,     0.000,     0.213,    -1
   8,    2,    1,     1.000,     0.354,    -5
   8,    3,    0,     0.000,     0.244,    -1
   8,    3,    1,     1.000,     0.450,    -5
   8,    4,    0,     0.000,     0.286,    -1
   8,    4,    1,     1.000,     0.620,    -5
   8,    5,    0,     0.000,     0.345,    -1
   8,    5,    1,     1.000,     0.995,    -5
   8,    6,    0,     0.000,     0.434,    -1
   8,    6,    1,     1.000,     2.500,   995
   9,    0,    0,     0.000,     0.434,    -1
   9,    0,    1,     1.000,     2.500,    -5
   9,    1,    0,     0.000,     0.221,    -5
   9,    1,    1,     0.000,     0.166,    -1
   9,    2,    0,     1.000,     0.255,    -5
   9,    2,    1,     0.000,     0.184,    -5
   9,    3,    0,     1.000,     0.302,    -5
   9,    3,    1,     1.000,     0.208,    -5
   9,    4,    0,     1.000,     0.369,    -5
   9,    4,    1,     1.000,     0.237,    -5
   9,    5,    0,     1.000,     0.476,    -5
   9,    5,    1,     1.000,     0.277,    -5
   9,    6,    0,     1.000,     0.667,    -5
   9,    6,    1,     1.000,     0.333,    -5
   9,    7,    0,     1.000,     1.111,    -5
   9,    7,    1,     1.000,     0.417,    -5
   9,    8,    0,     1.000,     3.333,   995
   9,    8,    1,     1.000,     0.556,    -5
  10,    0,    0,     1.000,     3.333,    -5
  10,    0,    1,     1.000,     0.556,    -5
