nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   3,    0,    1,     0.000,    -6.000,   -23.000,    23.770,     0.421,     0.177,     0.074,    -1
   3,    1,    0,     0.000,     1.000,   -52.000,    52.010,     0.192,     0.037,     0.007,    -1
   3,    1,    1,     0.000,    -5.000,   -43.000,    43.290,     0.231,     0.053,     0.012,    -1
   3,    2,    0,     0.000,     1.000,   -46.000,    46.011,     0.217,     0.047,     0.010,    -1
   3,    2,    1,     0.000,    -5.000,   -37.000,    37.336,     0.268,     0.072,     0.019,    -1
   3,    3,    0,     0.000,     1.000,   -40.000,    40.012,     0.250,     0.062,     0.016,    -1
   3,    3,    1,     0.000,    -5.000,   -31.000,    31.401,     0.318,     0.101,     0.032,    -1
   3,    4,    0,     0.000,     1.000,   -34.000,    34.015,     0.294,     0.086,     0.025,    -1
   3,    4,    1,     0.000,    -5.000,   -25.000,    25.495,     0.392,     0.154,     0.060,    -1
   3,    5,    0,     0.000,     1.000,   -28.000,    28.018,     0.357,     0.127,     0.045,    -1
   3,    5,    1,     0.000,    -5.000,   -19.000,    19.647,     0.509,     0.259,     0.132,    -1
   3,    6,    0,     0.000,     1.000,   -22.000,    22.023,     0.454,     0.206,     0.094,    -1
   3,    6,    1,     0.000,    -5.000,   -13.000,    13.928,     0.718,     0.515,     0.370,    -1
   3,    7,    0,     0.000,     1.000,   -16.000,    16.031,     0.624,     0.389,     0.243,    -5
   3,    7,    1,     0.000,    -5.000,    -7.000,     8.602,     1.162,     1.351,     1.571,    -1
   3,    8,    0,     1.000,     0.000,   -10.000,    10.000,     1.000,     1.000,     1.000,    -5
   3,    8,    1,     0.000,    -6.000,    -1.000,     6.083,     1.644,     2.703,     4.443,    -1
   3,    9,    0,     1.000,     0.000,    -4.000,     4.000,     2.500,     6.250,    15.625,   295
   3,    9,    1,     0.000,    -6.000,     5.000,     7.810,     1.280,     1.639,     2.099,    -1
   4,    0,    0,     1.000,     0.000,    -4.000,     4.000,     2.500,     6.250,    15.625,    -5
   4,    0,    1,     0.000,    -6.000,     5.000,     7.810,     1.280,     1.639,     2.099,    -1
   4,    1,    0,     0.000,    -6.000,   -63.000,    63.285,     0.158,     0.025,     0.004,    -1
   4,    1,    1,     0.000,    -6.000,   -62.000,    62.290,     0.161,     0.026,     0.004,    -1
   4,    2,    0,     0.000,    -6.000,   -57.000,    57.315,     0.174,     0.030,     0.005,    -1
   4,    2,    1,     0.000,    -6.000,   -56.000,    56.321,     0.178,     0.032,     0.006,    -1
   4,    3,    0,     0.000,    -6.000,   -51.000,    51.352,     0.195,     0.038,     0.007,    -1
   4,    3,    1,     0.000,    -6.000,   -50.000,    50.359,     0.199,     0.039,     0.008,    -1
   4,    4,    0,     0.000,    -6.000,   -45.000,    45.398,     0.220,     0.049,     0.011,    -1
   4,    4,    1,     0.000,    -6.000,   -44.000,    44.407,     0.225,     0.051,     0.011,    -1
   4,    5,    0,     0.000,    -6.000,   -39.000,    39.459,     0.253,     0.064,     0.016,    -1
   4,    5,    1,     0.000,    -6.000,   -38.000,    38.471,     0.260,     0.068,     0.018,    -1
   4,    6,    0,     0.000,    -6.000,   -33.000,    33.541,     0.298,     0.089,     0.027,    -1
   4,    6,    1,     0.000,    -6.000,   -32.000,    32.558,     0.307,     0.094,     0.029,    -1
   4,    7,    0,     0.000,    -6.000,   -27.000,    27.659,     0.362,     0.131,     0.047,    -1
   4,    7,    1,     0.000,    -6.000,   -26.000,    26.683,     0.375,     0.140,     0.053,    -1
   4,    8,    0,     0.000,    -6.000,   -21.000,    21.840,     0.458,     0.210,     0.096,    -1
   4,    8,    1,     0.000,    -6.000,   -20.000,    20.881,     0.479,     0.229,     0.110,    -1
   4,    9,    0,     0.000,    -6.000,   -15.000,    16.155,     0.619,     0.383,     0.237,    -1
   4,    9,    1,     0.000,    -6.000,   -14.000,    15.232,     0.657,     0.431,     0.283,    -1
   4,   10,    0,     0.000,    -6.000,    -9.000,    10.817,     0.925,     0.855,     0.790,    -1
   4,   10,    1,     0.000,    -6.000,    -8.000,    10.000,     1.000,     1.000,     1.000,    -1
