nExp, Time,   ID,       F 0,       F 1 
   2,   10,    0,     0.000,     0.767,    -1
   2,   10,    1,     0.000,     1.387,    -1
   3,    0,    0,     0.000,     0.526,    -1
   3,    0,    1,     0.000,     1.581,    -1
   3,    1,    0,     0.000,     0.204,    -1
   3,    1,    1,     0.000,     0.248,    -1
   3,    2,    0,     0.000,     0.232,    -1
   3,    2,    1,     0.000,     0.291,    -1
   3,    3,    0,     0.000,     0.270,    -1
   3,    3,    1,     0.000,     0.352,    -1
   3,    4,    0,     0.000,     0.322,    -1
   3,    4,    1,     0.000,     0.443,    -1
   3,    5,    0,     0.000,     0.400,    -1
   3,    5,    1,     0.000,     0.597,    -1
   3,    6,    0,     0.000,     0.526,    -1
   3,    6,    1,     0.000,     0.894,    -1
   3,    7,    0,     0.000,     0.767,    -1
   3,    7,    1,     0.000,     1.562,    -1
   3,    8,    0,     0.000,     1.414,    -1
   3,    8,    1,     0.000,     1.857,    -1
   3,    9,    0,     0.000,     7.071,    -1
   3,    9,    1,     0.000,     1.060,    -1
   3,   10,    0,     0.000,     1.961,    -1
   3,   10,    1,     0.000,     0.673,    -1
   4,    0,    0,     0.000,     0.905,    -1
   4,    0,    1,     0.000,     0.485,    -1
   4,    1,    0,     0.000,     0.163,    -1
   4,    1,    1,     0.000,     0.166,    -1
   4,    2,    0,     0.000,     0.181,    -1
   4,    2,    1,     0.000,     0.184,    -1
   4,    3,    0,     0.000,     0.203,    -1
   4,    3,    1,     0.000,     0.207,    -1
   4,    4,    0,     0.000,     0.230,    -1
   4,    4,    1,     0.000,     0.236,    -1
   4,    5,    0,     0.000,     0.267,    -1
   4,    5,    1,     0.000,     0.274,    -1
   4,    6,    0,     0.000,     0.317,    -1
   4,    6,    1,     0.000,     0.327,    -1
   4,    7,    0,     0.000,     0.389,    -1
   4,    7,    1,     0.000,     0.404,    -1
   4,    8,    0,     0.000,     0.502,    -1
   4,    8,    1,     0.000,     0.527,    -1
   4,    9,    0,     0.000,     0.698,    -1
   4,    9,    1,     0.000,     0.745,    -1
   4,   10,    0,     0.000,     1.085,    -1
   4,   10,    1,     0.000,     1.179,    -1
   5,    0,    0,     0.000,     1.644,    -1
   5,    0,    1,     0.000,     1.667,    -1
   5,    1,    0,     0.000,     0.217,    -1
   5,    1,    1,     0.000,     0.174,    -1
   5,    2,    0,     0.000,     0.250,    -1
   5,    2,    1,     0.000,     0.195,    -1
   5,    3,    0,     0.000,     0.294,    -1
   5,    3,    1,     0.000,     0.220,    -1
   5,    4,    0,     0.000,     0.357,    -1
   5,    4,    1,     0.000,     0.253,    -1
   5,    5,    0,     0.000,     0.454,    -1
   5,    5,    1,     0.000,     0.298,    -1
   5,    6,    0,     0.000,     0.624,    -1
   5,    6,    1,     0.000,     0.362,    -1
   5,    7,    0,     0.000,     0.995,    -1
   5,    7,    1,     0.000,     0.458,    -1
   5,    8,    0,     0.000,     2.425,    -1
   5,    8,    1,     0.000,     0.619,    -1
   5,    9,    0,     0.000,     4.472,    -1
   5,    9,    1,     0.000,     0.925,    -1
   6,    0,    0,     0.000,     1.240,    -1
   6,    0,    1,     0.000,     1.491,    -1
   6,    1,    0,     0.000,     0.587,    -1
   6,    1,    1,     0.000,     0.227,    -1
   6,    2,    0,     0.000,     0.905,    -1
   6,    2,    1,     0.000,     0.263,    -1
   6,    3,    0,     0.000,     1.961,    -1
   6,    3,    1,     0.000,     0.312,    -1
   6,    4,    0,     0.000,     7.071,    -1
   6,    4,    1,     0.000,     0.384,    -1
