nExp, Time,   ID,       F 0,       F 1,       F 2,       F 3,       F 4,       F 5,       F 6 
   3,    1,    0,     0.000,    -0.500,    -0.818,     0.959,     0.959,     0.919,     0.882,     0
   3,    2,    0,     0.000,    -0.417,    -0.727,     0.838,     0.838,     0.703,     0.589,    -5
   3,    3,    0,     1.000,    -0.333,    -0.636,     0.718,     0.718,     0.516,     0.371,    -5
   3,    4,    0,     1.000,    -0.250,    -0.545,     0.600,     0.600,     0.360,     0.216,    -5
   3,    5,    0,     1.000,    -0.167,    -0.455,     0.484,     0.484,     0.234,     0.113,    -5
   3,    6,    0,     1.000,    -0.083,    -0.364,     0.373,     0.373,     0.139,     0.052,    -5
   3,    7,    0,     1.000,     0.000,    -0.273,     0.273,     0.273,     0.074,     0.020,    -5
   3,    8,    0,     1.000,     0.000,    -0.182,     0.182,     0.182,     0.033,     0.006,    -5
   3,    9,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,   995
   4,    0,    0,     1.000,     0.000,    -0.091,     0.091,     0.091,     0.008,     0.001,     0
   4,    1,    0,     0.000,     0.083,    -0.652,     0.657,     0.657,     0.431,     0.283,     0
   4,    2,    0,     0.000,     0.083,    -0.561,     0.567,     0.567,     0.321,     0.182,     0
   4,    3,    0,     0.000,     0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,     0
   4,    4,    0,     0.000,     0.083,    -0.379,     0.388,     0.388,     0.150,     0.058,     0
   4,    5,    0,     0.000,     0.083,    -0.288,     0.300,     0.300,     0.090,     0.027,     0
   4,    6,    0,     0.000,     0.083,    -0.197,     0.214,     0.214,     0.046,     0.010,     0
   4,    7,    0,     0.000,     0.083,    -0.106,     0.135,     0.135,     0.018,     0.002,     0
   4,    8,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
   4,    9,    0,     0.000,     0.083,     0.076,     0.113,     0.113,     0.013,     0.001,     0
   4,   10,    0,     0.000,     0.083,     0.167,     0.186,     0.186,     0.035,     0.006,     0
   5,    0,    0,     0.000,     0.083,     0.258,     0.271,     0.271,     0.073,     0.020,     0
   5,    1,    0,     0.000,    -0.500,    -0.894,     1.024,     1.024,     1.049,     1.075,     0
   5,    2,    0,     0.000,    -0.417,    -0.803,     0.905,     0.905,     0.818,     0.740,    -5
   5,    3,    0,     1.000,    -0.333,    -0.712,     0.786,     0.786,     0.618,     0.486,    -5
   5,    4,    0,     1.000,    -0.250,    -0.621,     0.670,     0.670,     0.448,     0.300,    -5
   5,    5,    0,     1.000,    -0.167,    -0.530,     0.556,     0.556,     0.309,     0.172,    -5
   5,    6,    0,     1.000,    -0.083,    -0.439,     0.447,     0.447,     0.200,     0.089,    -5
   5,    7,    0,     1.000,     0.000,    -0.348,     0.348,     0.348,     0.121,     0.042,    -5
   5,    8,    0,     1.000,     0.000,    -0.258,     0.258,     0.258,     0.066,     0.017,    -5
   5,    9,    0,     1.000,     0.000,    -0.167,     0.167,     0.167,     0.028,     0.005,    -5
   5,   10,    0,     1.000,     0.000,    -0.076,     0.076,     0.076,     0.006,     0.000,     0
   6,    0,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
   6,    1,    0,     0.000,     0.083,    -0.758,     0.762,     0.762,     0.581,     0.443,     0
   6,    2,    0,     0.000,     0.083,    -0.667,     0.672,     0.672,     0.451,     0.303,     0
   6,    3,    0,     0.000,     0.083,    -0.576,     0.582,     0.582,     0.338,     0.197,     0
   6,    4,    0,     0.000,     0.083,    -0.485,     0.492,     0.492,     0.242,     0.119,     0
   6,    5,    0,     0.000,     0.083,    -0.394,     0.403,     0.403,     0.162,     0.065,     0
   6,    6,    0,     0.000,     0.083,    -0.303,     0.314,     0.314,     0.099,     0.031,     0
   6,    7,    0,     0.000,     0.083,    -0.212,     0.228,     0.228,     0.052,     0.012,     0
   6,    8,    0,     0.000,     0.083,    -0.121,     0.147,     0.147,     0.022,     0.003,     0
   6,    9,    0,     0.000,     0.083,    -0.030,     0.089,     0.089,     0.008,     0.001,     0
   6,   10,    0,     0.000,     0.083,     0.061,     0.103,     0.103,     0.011,     0.001,     0
   7,    0,    0,     0.000,     0.083,     0.152,     0.173,     0.173,     0.030,     0.005,     0
   7,    1,    0,     0.000,    -0.417,    -0.606,     0.735,     0.735,     0.541,     0.398,    -5
   7,    2,    0,     1.000,    -0.333,    -0.515,     0.614,     0.614,     0.376,     0.231,    -5
   7,    3,    0,     1.000,    -0.250,    -0.424,     0.492,     0.492,     0.242,     0.119,    -5
   7,    4,    0,     1.000,    -0.167,    -0.333,     0.373,     0.373,     0.139,     0.052,    -5
   7,    5,    0,     1.000,    -0.083,    -0.242,     0.256,     0.256,     0.066,     0.017,    -5
   7,    6,    0,     1.000,     0.000,    -0.152,     0.152,     0.152,     0.023,     0.003,    -5
   7,    7,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,   995
   8,    0,    0,     1.000,     0.000,    -0.061,     0.061,     0.061,     0.004,     0.000,     0
   8,    1,    0,     0.000,    -0.500,    -0.955,     1.078,     1.078,     1.161,     1.251,     0
   8,    2,    0,     0.000,    -0.417,    -0.864,     0.959,     0.959,     0.919,     0.882,    -5
   8,    3,    0,     1.000,    -0.333,    -0.773,     0.842,     0.842,     0.708,     0.596,    -5
   8,    4,    0,     1.000,    -0.250,    -0.682,     0.726,     0.726,     0.527,     0.383,    -5
   8,    5,    0,     1.000,    -0.167,    -0.591,     0.614,     0.614,     0.377,     0.231,    -5
   8,    6,    0,     1.000,    -0.083,    -0.500,     0.507,     0.507,     0.257,     0.130,    -5
   8,    7,    0,     1.000,     0.000,    -0.409,     0.409,     0.409,     0.167,     0.068,    -5
   8,    8,    0,     1.000,     0.000,    -0.318,     0.318,     0.318,     0.101,     0.032,    -5
   8,    9,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
   8,   10,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,     0
   9,    0,    0,     0.000,     0.083,    -0.045,     0.095,     0.095,     0.009,     0.001,     0
   9,    1,    0,     0.000,    -0.500,    -0.924,     1.051,     1.051,     1.104,     1.160,     0
   9,    2,    0,     0.000,    -0.417,    -0.833,     0.932,     0.932,     0.868,     0.809,    -5
   9,    3,    0,     1.000,    -0.333,    -0.742,     0.814,     0.814,     0.662,     0.539,    -5
   9,    4,    0,     1.000,    -0.250,    -0.652,     0.698,     0.698,     0.487,     0.340,    -5
   9,    5,    0,     1.000,    -0.167,    -0.561,     0.585,     0.585,     0.342,     0.200,    -5
   9,    6,    0,     1.000,    -0.083,    -0.470,     0.477,     0.477,     0.228,     0.109,    -5
   9,    7,    0,     1.000,     0.000,    -0.379,     0.379,     0.379,     0.143,     0.054,    -5
   9,    8,    0,     1.000,     0.000,    -0.288,     0.288,     0.288,     0.083,     0.024,    -5
   9,    9,    0,     1.000,     0.000,    -0.197,     0.197,     0.197,     0.039,     0.008,    -5
   9,   10,    0,     1.000,     0.000,    -0.106,     0.106,     0.106,     0.011,     0.001,     0
  10,    0,    0,     0.000,     0.083,    -0.015,     0.085,     0.085,     0.007,     0.001,     0
  10,    1,    0,     0.000,     0.083,    -0.712,     0.717,     0.717,     0.514,     0.369,     0
  10,    2,    0,     0.000,     0.083,    -0.621,     0.627,     0.627,     0.393,     0.246,     0
  10,    3,    0,     0.000,     0.083,    -0.530,     0.537,     0.537,     0.288,     0.155,     0
  10,    4,    0,     0.000,     0.083,    -0.439,     0.447,     0.447,     0.200,     0.089,     0
  10,    5,    0,     0.000,     0.083,    -0.348,     0.358,     0.358,     0.128,     0.046,     0
  10,    6,    0,     0.000,     0.083,    -0.258,     0.271,     0.271,     0.073,     0.020,     0
  10,    7,    0,     0.000,     0.083,    -0.167,     0.186,     0.186,     0.035,     0.006,     0
  10,    8,    0,     0.000,     0.083,    -0.076,     0.113,     0.113,     0.013,     0.001,     0
  10,    9,    0,     0.000,     0.083,     0.015,     0.085,     0.085,     0.007,     0.001,     0
  10,   10,    0,     0.000,     0.083,     0.106,     0.135,     0.135,     0.018,     0.002,     0
  11,    0,    0,     0.000,     0.083,     0.197,     0.214,     0.214,     0.046,     0.010,     0
  11,    1,    0,     0.000,    -0.500,    -0.864,     0.998,     0.998,     0.996,     0.994,     0
  11,    2,    0,     0.000,    -0.417,    -0.773,     0.878,     0.878,     0.771,     0.677,    -5
  11,    3,    0,     1.000,    -0.333,    -0.682,     0.759,     0.759,     0.576,     0.437,    -5
  11,    4,    0,     1.000,    -0.250,    -0.591,     0.642,     0.642,     0.412,     0.264,    -5
  11,    5,    0,     1.000,    -0.167,    -0.500,     0.527,     0.527,     0.278,     0.146,    -5
  11,    6,    0,     1.000,    -0.083,    -0.409,     0.417,     0.417,     0.174,     0.073,    -5
  11,    7,    0,     1.000,     0.000,    -0.318,     0.318,     0.318,     0.101,     0.032,    -5
  11,    8,    0,     1.000,     0.000,    -0.227,     0.227,     0.227,     0.052,     0.012,    -5
  11,    9,    0,     1.000,     0.000,    -0.136,     0.136,     0.136,     0.019,     0.003,    -5
  12,    0,    0,     1.000,     0.000,    -0.045,     0.045,     0.045,     0.002,     0.000,     0
